测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注
期权开仓下单-建仓指令未指定POV且未用口语化跟量-机器人提示补充建仓指令,"用户已在微信群中发送询价指令：【300098.SZ,100%call,18M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",500w 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-机器人提示补充建仓指令后用户回复""POV25%""-下单成功","用户已在微信群中发送询价指令：【300098.SZ,100%call,19M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",POV25% 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-机器人提示补充建仓指令后用户回复无效值""abc""-再次提示","用户已在微信群中发送询价指令：【300098.SZ,100%call,20M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",abc 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-机器人提示补充建仓指令后用户回复""尽快成交""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,21M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",尽快成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""最大跟量""但未指定交易对手-缺少必要参数","用户已在微信群中发送询价指令：【300098.SZ,100%call,22M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最大跟量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""尽快成交""但未指定名义本金-缺少必要参数","用户已在微信群中发送询价指令：【300098.SZ,100%call,23M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",尽快成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-名义本金为0-建仓指令含""最大跟量""","用户已在微信群中发送询价指令：【300098.SZ,100%call,24M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",0 最大跟量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-名义本金极大值-建仓指令含""尽快成交""","用户已在微信群中发送询价指令：【300098.SZ,100%call,25M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",9999999999 尽快成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含拼写误差""最大跟亮""","用户已在微信群中发送询价指令：【300098.SZ,100%call,26M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最大跟亮 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含拼写误差""尽快城交""","用户已在微信群中发送询价指令：【300098.SZ,100%call,27M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 尽快城交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令""最大跟量""含多余空格","用户已在微信群中发送询价指令：【300098.SZ,100%call,28M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最  大  跟  量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令""最大跟量""出现多次-去重不异常","用户已在微信群中发送询价指令：【300098.SZ,100%call,29M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最大跟量 最大跟量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""跟量最大""倒装表达","用户已在微信群中发送询价指令：【300098.SZ,100%call,30M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 跟量最大 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-多腿建仓指令全部含""最大跟量""-每条腿独立映射POV25%",用户已在微信群中发送多腿询价指令，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令,腿1：500w 最大跟量；腿2：300w 最大跟量 限价6,,引用询价消息回复【测试数据】,机器人返回多腿下单成功详情，每条腿建仓指令均为POV、POV比例25%,
期权开仓下单-多腿建仓指令分别指定不同跟量-各腿独立解析,用户已在微信群中发送多腿询价指令，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令,腿1：500w 最大跟量；腿2：300w 市价下单 限价6,,引用询价消息回复【测试数据】,机器人返回多腿下单成功详情：腿1建仓指令POV、POV比例25%；腿2建仓指令市价单，不映射POV,
