产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,互换下单，交易品种为港股，TWAP/VWAP 算法单，限价单,,"港股9868.HK ，TWAP，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""港股9868.HK ，TWAP，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-8056215040
标的代码：9868.HK
标的名称：小鹏汽车-W
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：TWAP
算法开始时间：2026-05-15 18:49:36
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为港股，SNIPER 算法单，限价单,,"港股9868.HK ，SNIPER，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""港股9868.HK ，SNIPER，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-3790916864
标的代码：9868.HK
标的名称：小鹏汽车-W
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：SNIPER
算法开始时间：2026-05-15 18:50:49
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为港股，ICEBERG算法单，限价单,,"港股9868.HK ，ICEBERG，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""港股9868.HK ，ICEBERG，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-9741074432
标的代码：9868.HK
标的名称：小鹏汽车-W
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：ICEBERG
可见委托量：100股
算法开始时间：2026-05-15 18:52:27
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为港股，非算法单，限价单,,"港股9868.HK ，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""港股9868.HK ，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-3023610128
标的代码：9868.HK
标的名称：小鹏汽车-W
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为美股，POV 算法单，限价单,,"PDD.O，POV10，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""PDD.O，POV10，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-7905904128
标的代码：PDD.O
标的名称：PDD
交易品种：美股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：10%
算法开始时间：2026-05-15 21:30:00
算法结束时间：2026-05-16 05:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为美股，TWAP/VWAP 算法单，限价单,,"PDD.O，TWAP，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""PDD.O，TWAP，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-7142115840
标的代码：PDD.O
标的名称：PDD
交易品种：美股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：TWAP
算法开始时间：2026-05-15 21:30:00
算法结束时间：2026-05-16 05:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为美股，SNIPER 算法单，限价单,,"PDD.O，SNIPER，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""PDD.O，SNIPER，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-5356046336
标的代码：PDD.O
标的名称：PDD
交易品种：美股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：SNIPER
算法开始时间：2026-05-15 21:30:00
算法结束时间：2026-05-16 05:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为美股，ICEBERG算法单，限价单,,"PDD.O，ICEBERG，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""PDD.O，ICEBERG，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-9104147712
标的代码：PDD.O
标的名称：PDD
交易品种：美股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：ICEBERG
可见委托量：【待补充】
算法开始时间：2026-05-15 21:30:00
算法结束时间：2026-05-16 05:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
【请补充参数：可委托数量】例如：500

请引用本消息补充【可委托数量】",已通过,,,,,,,,,
,,,互换下单，交易品种为美股，非算法单，限价单,,"PDD.O，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""PDD.O，ICEBERG，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-5312801024
标的代码：PDD.O
标的名称：PDD
交易品种：美股
委托数量：100股
委托方向：买入
价格类型：限价委托
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为跨境期货，POV 算法单，限价单,,"AL220311.LME，POV10，买入10手限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""AL220311.LME，POV10，买入10手限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-2851295744
标的代码：AL220311.LME
标的名称：伦敦铝220311合约
交易品种：跨境期货
委托数量：10手
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：10%
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为跨境期货，TWAP/VWAP 算法单，限价单,,"AL220311.LME，TWAP，买入10手限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""AL220311.LME，POV10，买入10手限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-5983862272
标的代码：AL220311.LME
标的名称：伦敦铝220311合约
交易品种：跨境期货
委托数量：10手
委托方向：买入
价格类型：限价委托
算法类型：TWAP
算法开始时间：2026-05-15 19:14:12
算法结束时间：2026-05-16 05:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为跨境期货，SNIPER 算法单，限价单,,"AL220311.LME，SNIPER，买入10手限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""AL220311.LME，SNIPER，买入10手限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-1152285272
标的代码：AL220311.LME
标的名称：伦敦铝220311合约
交易品种：跨境期货
委托数量：10手
委托方向：买入
价格类型：限价委托
交易对手：11125测试短名（张天琪专用）
 
【请补充参数：算法类型】例如：POV/TWAP，跨境期货仅支持POV和TWAP算法

请引用本消息补充【算法类型】",已通过,,,,,,,,,
,,,互换下单，交易品种为跨境期货，跨境期货交易所伦敦金属交易所不支持市价委托，自动设置为限价单。,,伦敦铝，买入10手，市价跟量30%，11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""伦敦铝，买入10手，市价跟量30%，11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-5369291776
标的代码：AL220311.LME
标的名称：伦敦铝220311合约
交易品种：跨境期货
委托数量：10手
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：30%
限定价格：【待补充】
交易对手：11125测试短名（张天琪专用）
 
[伦敦铝]匹配到其他标的：
1. AL220311.LME - 伦敦铝220311合约（已默认）
2. AL220314.LME - 伦敦铝220314合约
3. AL220315.LME - 伦敦铝220315合约
4. AL220316.LME - 伦敦铝220316合约
5. AL220317.LME - 伦敦铝220317合约
如果以上标的均不是目标标的，请联系对口销售或交易员
 
【请补充参数：限定价格】例如：18.12（元）
温馨提示：
- 跨境期货交易所伦敦金属交易所不支持市价委托，已自动设置为限价单。

请引用本消息补充【限定价格】",已通过,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
