产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,"深港通非算法单省略限价关键字：用户未写""限价""只写价格数字，系统正确识别为限价并返回完整订单",用户在企业微信群中，机器人已接入,标的：深港通1357.HK，数量：1000股，方向：买入，价格为18，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入1000股 18 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托数量、委托方向买入、价格类型限价委托、限定价格18、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,"深港通算法单省略限价关键字：用户未写""限价""只写价格数字，算法单显示限定价格，返回完整订单",用户在企业微信群中，机器人已接入,标的：深港通1357.HK，数量：1000股，方向：买入，价格为18，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入1000股 18 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型限价委托、限定价格18、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,"沪港通非算法单省略限价关键字：用户未写""限价""只写价格数字，系统正确识别为限价并返回完整订单",用户在企业微信群中，机器人已接入,标的：沪港通0590.HK，数量：1000股，方向：买入，价格为18，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通0590.HK 买入1000股 18 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码0590.HK、标的名称、交易品种沪港通、委托数量、委托方向买入、价格类型限价委托、限定价格18、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,"沪港通算法单省略限价关键字：用户未写""限价""只写价格数字，算法单显示限定价格，返回完整订单",用户在企业微信群中，机器人已接入,标的：沪港通0590.HK，数量：1000股，方向：买入，价格为18，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通0590.HK 买入1000股 18 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型限价委托、限定价格18、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,期权建仓询价：用户发起欧式看涨期权询价（完整参数），系统返回报价详情并提示补全名义本金和建仓指令,用户在企业微信群中，机器人已接入，群内1个交易对手,标的：000155.SZ 川能动力，期权类型：欧式看涨，执行价：80%，期限：1M/2M/3M,1,"用户在企业微信群中@机器人输入指令：""欧式看涨，000155.SZ，80%，1M 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外期权询价详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、期权费率、名义本金（待补充）、建仓指令（待补充）。提示【如需下单，请引用本消息补充【名义本金】【建仓指令】】,已通过,,,,,,,,,
,,,期权建仓限价单：用户补充限价+名义本金，系统返回含限定价格的订单确认,上一步已执行，机器人已返回询价详情,名义本金：200w，建仓指令：限价6.30,2,"用户引用机器人返回的询价消息，回复：""限价6.30，200w @场外AI交易助手测试C""",机器人返回期权订单确认详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、期权费率、名义本金200万、价格类型限价委托、限定价格6.30。提示【如需下单请引用本消息，回复'确认下单'】,已通过,,,,,,,,,
,,,期权建仓询价（缺价格场景用）：用户发起欧式看涨期权询价，系统返回报价详情,用户在企业微信群中，机器人已接入，群内1个交易对手,标的：000155.SZ 川能动力，期权类型：欧式看涨，执行价：80%，期限：1M/2M/3M,1,"用户在企业微信群中@机器人输入指令：""欧式看涨，000155.SZ，80%，1M 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外期权询价详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、期权费率、名义本金（待补充）、建仓指令（待补充）。提示【如需下单，请引用本消息补充【名义本金】【建仓指令】】,,,,,,,,,,
,,,期权建仓限价单缺价格：询价后补充限价但缺少限定价格值，系统提示补全,上一步已执行，机器人已返回询价详情,名义本金：200w，建仓指令：限价（缺价格值）,2,"用户引用机器人返回的询价消息，回复：""限价，200w""",机器人返回提示：您的期权建仓指令参数不完整，请补充【限定价格】。示例：限价6.30。请引用本消息，补充限定价格,,,,,,,,,,
,,,期权建仓限价单缺价格补全：用户补全限定价格后，系统返回完整订单确认,上一步已执行，机器人已提示补全限定价格,限定价格：6.30,3,"用户引用机器人返回的提示消息，回复：""限价6.30 """,机器人返回期权订单确认详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、名义本金200万、价格类型限价委托、限定价格6.30。提示【如需下单请引用本消息，回复'确认下单'】, ,,,,,,,,,
,,,期权建仓询价（POV+限价场景用）：用户发起欧式看涨期权询价，系统返回报价详情,用户在企业微信群中，机器人已接入，群内1个交易对手,标的：000155.SZ 川能动力，期权类型：欧式看涨，执行价：80%，期限：1M/2M/3M,1,"用户在企业微信群中@机器人输入指令：""欧式看涨，000155.SZ，80%，1M 11125测试短名（张天琪专用） @场外AI交易助手测试C""",机器人返回场外期权询价详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、期权费率、名义本金（待补充）、建仓指令（待补充）。提示【如需下单，请引用本消息补充【名义本金】【建仓指令】】,已通过,,,,,,,,,
,,,期权建仓POV+限价单：询价后补充POV25%+限价+名义本金，系统返回含限定价格的订单确认,上一步已执行，机器人已返回询价详情,名义本金：200w，建仓指令：POV25%，限价6.30,2,"用户引用机器人返回的询价消息，回复：""POV25%，限价6.30，200w """,机器人返回期权订单确认详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、名义本金200万、价格类型限价委托、限定价格6.30、算法类型POV25%。提示【如需下单请引用本消息，回复'确认下单'】,已通过,,,,,,,,,
,,,期权建仓询价（TWAP+限价场景用）：用户发起欧式看涨期权询价，系统返回报价详情,用户在企业微信群中，机器人已接入，群内1个交易对手,标的：000155.SZ 川能动力，期权类型：欧式看涨，执行价：80%，期限：1M/2M/3M,1,"用户在企业微信群中@机器人输入指令：""欧式看涨，000155.SZ，80%，3M 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外期权询价详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、期权费率、名义本金（待补充）、建仓指令（待补充）。提示【如需下单，请引用本消息补充【名义本金】【建仓指令】】,已通过,,,,,,,,,
,,,期权建仓TWAP+限价单：询价后补充TWAP+时间段+限价+名义本金，系统返回含限定价格的订单确认,上一步已执行，机器人已返回询价详情,名义本金：200w，建仓指令：TWAP 13:00-14:00，限价6.30,2,"用户引用机器人返回的询价消息，回复：""TWAP 13:00-14:00，限价6.30，200w""",机器人返回期权订单确认详情，包含：单号、标的代码000155.SZ、标的名称川能动力、方向欧式看涨、期限、行权价格、名义本金200万、价格类型限价委托、限定价格6.30、算法类型TWAP、算法开始时间13:00、算法结束时间14:00。提示【如需下单请引用本消息，回复'确认下单'】,已通过,,,,,,,,,
,,,期权建仓询价（多交易对手）：群内多个交易对手，询价完整参数，系统返回报价并提示选择交易对手,用户在企业微信群中，机器人已接入，群内3个交易对手,标的：300098.SZ 高新兴，期权类型：欧式看涨，执行价：80%/100%，期限：1M,1,"用户在企业微信群中@机器人输入指令：""欧式看涨，300098.SZ，1M，80% 11125测试短名（张天琪专用） @场外AI交易助手测试C""",机器人返回多个场外期权询价详情（按执行价80%和100%各一单），每单包含：单号、标的代码300098.SZ、标的名称高新兴、方向、期限、行权价格、期权费率、名义本金（待补充）、交易对手（待补充）、建仓指令（待补充）。提示【如需下单，请引用本消息补充【交易对手】【名义本金】【建仓指令】并附上【订单号】】，列出可选交易对手列表A/B/C,已通过,,,,,,,,,
,,,期权建仓限价单：用户补充限价+名义本金，系统返回含限定价格的订单确认,上一步已执行，机器人已返回多交易对手报价,名义本金：200w，建仓指令：限价6.30,2,"用户引用机器人返回的询价消息，回复：""限价6.30，200w """,机器人返回期权订单确认详情，包含：单号、标的代码300098.SZ、标的名称高新兴、方向欧式看涨、期限、行权价格80%、名义本金200万、交易对手A、价格类型限价委托、限定价格6.30。提示【如需下单请引用本消息，回复'确认下单'】,已通过,,,,,,,,,
,,,期权平仓查持仓：用户查询期权持仓，系统返回持仓列表并提示平仓参数格式,用户在企业微信群中，机器人已接入,指令：查可平持仓,1,"用户在企业微信群中@机器人输入指令：""查可平持仓 @场外AI交易助手测试C""",机器人返回期权持仓列表，包含每笔持仓的序号、单号、合约编号、期权类型、标的信息、当日剩余可申请平仓名义本金、合约剩余名义本金、是否可平仓。提示【如需平仓，请引用本消息回复【持仓序号或合约编号】【平仓名义本金】【平仓价格方式】】，并给出示例格式,已通过,,,,,,,,,
,,,期权平仓限价单：用户选择持仓序号+限价+平仓名义本金，系统返回含限定价格的平仓确认,上一步已执行，机器人已返回持仓列表,持仓序号：1，平仓名义本金：200w，平仓价格方式：限价10,2,"用户引用机器人返回的持仓消息，回复：""序号1，限价10，200w""",机器人返回场外期权平仓详情，包含：单号、申请时间、合约编号、期权类型、期权方向、标的代码、标的名称、交易方向卖出、平仓名义本金200万、平仓价格方式限价、限定价格10。提示【若订单无误，请引用本消息回复【确认平仓】】,已通过,,,,,,,,,
,,,期权平仓查持仓（缺价格场景用）：用户查询期权持仓，系统返回持仓列表,用户在企业微信群中，机器人已接入,指令：查可平持仓,1,"用户在企业微信群中@机器人输入指令：""查可平持仓 @场外AI交易助手测试C""",机器人返回期权持仓列表，包含每笔持仓的序号、单号、合约编号、期权类型、标的信息、当日剩余可申请平仓名义本金、合约剩余名义本金、是否可平仓。提示【如需平仓，请引用本消息回复【持仓序号或合约编号】【平仓名义本金】【平仓价格方式】】，并给出示例格式,已通过,,,,,,,,,
,,,期权平仓限价单缺价格：用户指定限价但缺少价格值，系统提示补全限定价格,上一步已执行，机器人已返回持仓列表,持仓序号：1，平仓名义本金：200w，平仓价格方式：限价（缺价格值）,2,"用户引用机器人返回的持仓消息，回复：""序号1，限价，200w""",机器人返回提示：平仓价格方式参数不完整，限价单需填写【限定价格】。示例：限价10。请引用本消息，补充限定价格,已通过,,,,,,,,,
,,,期权平仓限价单缺价格补全：用户补全限定价格后，系统返回完整平仓确认,上一步已执行，机器人已提示补全限定价格,限定价格：10,3,"用户引用机器人返回的提示消息，回复：""限价10""",机器人返回场外期权平仓详情，包含：单号、申请时间、合约编号、期权类型、期权方向、标的代码、标的名称、交易方向卖出、平仓名义本金200万、平仓价格方式限价、限定价格10。提示【若订单无误，请引用本消息回复【确认平仓】】,已通过,,,,,,,,,
,,,期权平仓查持仓（POV+限价场景用）：用户查询期权持仓，系统返回持仓列表,用户在企业微信群中，机器人已接入,指令：查可平持仓,1,"用户在企业微信群中@机器人输入指令：""查可平持仓 @场外AI交易助手测试C""",机器人返回期权持仓列表，包含每笔持仓的序号、单号、合约编号、期权类型、标的信息、当日剩余可申请平仓名义本金、合约剩余名义本金、是否可平仓。提示【如需平仓，请引用本消息回复【持仓序号或合约编号】【平仓名义本金】【平仓价格方式】】，并给出示例格式,已通过,,,,,,,,,
,,,期权平仓POV+限价单：用户选择持仓+POV25%+限价+平仓名义本金，系统返回含限定价格的平仓确认,上一步已执行，机器人已返回持仓列表,持仓序号：1，平仓名义本金：200w，平仓价格方式：POV25%，限价10,2,"用户引用机器人返回的持仓消息，回复：""序号1，POV25%，限价10，200w""",机器人返回场外期权平仓详情，包含：单号、申请时间、合约编号、期权类型、期权方向、标的代码、标的名称、交易方向卖出、平仓名义本金200万、平仓价格方式POV25%、限定价格10。提示【若订单无误，请引用本消息回复【确认平仓】】,已通过,,,,,,,,,
,,,期权平仓查持仓（TWAP+限价场景用）：用户查询期权持仓，系统返回持仓列表,用户在企业微信群中，机器人已接入,指令：查可平持仓,1,"用户在企业微信群中@机器人输入指令：""查可平持仓 @场外AI交易助手测试C""",机器人返回期权持仓列表，包含每笔持仓的序号、单号、合约编号、期权类型、标的信息、当日剩余可申请平仓名义本金、合约剩余名义本金、是否可平仓。提示【如需平仓，请引用本消息回复【持仓序号或合约编号】【平仓名义本金】【平仓价格方式】】，并给出示例格式,,,,,,,,,,
,,,期权平仓TWAP+限价单：用户选择持仓+TWAP+时间段+限价+平仓名义本金，系统返回含限定价格的平仓确认,上一步已执行，机器人已返回持仓列表,持仓序号：1，平仓名义本金：200w，平仓价格方式：TWAP 13:00-14:00，限价10,2,"用户引用机器人返回的持仓消息，回复：""序号1，TWAP 13:00-14:00，限价10，200w """,机器人返回场外期权平仓详情，包含：单号、申请时间、合约编号、期权类型、期权方向、标的代码、标的名称、交易方向卖出、平仓名义本金200万、平仓价格方式TWAP、算法开始时间13:00、算法结束时间14:00、限定价格10。提示【若订单无误，请引用本消息回复【确认平仓】】, ,,,,,,,,,
