产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,验证： @机器人输入缺少交易对手的互换下单指令，机器人能引导用户选择,,临沂阿凡提/,2,用户引用上一条机器人消息补全：“临沂阿凡提”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间、交易对手等，并提示用户下一步步骤","互换下单
（群内交易对手>2，用户未指定）",,,,,,,,,
,,,验证： @机器人输入错误交易对手的互换下单指令，机器人能引导用户选择,用户已登录微信，并加入机器人所在群聊且有业务权限。,沪港通0700.HK 卖出 100股 限价 pov10% 10:30-10:32 交易对手A,1,"用户在微信群中输入下单指令：“沪港通0700.HK 卖出 100股 限价 pov10% 10:30-10:32
”","机器人：
提示交易对手参数错误，并列出群内的交易对手，引导用户选择交易对手","互换下单
（群内交易对手>2，指令存在非群内交易对手）",phq,反案例,高,2025/11/7,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： @机器人输入错误交易对手的互换下单指令，机器人能引导用户选择,,临沂阿凡提/A(代号）,2,用户引用上一条机器人消息补全：“临沂阿凡提”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间、交易对手等，并提示用户下一步步骤","互换下单
（群内交易对手>2，指令存在非群内交易对手）",,,,,,,,,
,,,验证： @机器人输入多个订单非群内交易对手的互换下单指令，机器人能引导用户选择,用户已登录微信，并加入机器人所在群聊且有业务权限。,,1,用户在微信群中@机器人并发送图片,"机器人：
提示交易对手参数错误，并列出群内的交易对手，引导用户选择交易对手","互换下单
（多订单存在非群内交易对手）",phq,反案例,高,2025/11/7,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： @机器人输入多个订单非群内交易对手的互换下单指令，机器人能引导用户选择,,"1100d,1000b,100C/第一单d，第二单b，第三单c",2,"用户引用上一条机器人消息补全：“1100d,1000b,100C”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间、交易对手等，并提示用户下一步步骤","互换下单
（多订单存在非群内交易对手）",,,,,,,,,
,,,验证： @机器人输入参数间存在逻辑冲突的互换下单指令，机器人能引导用户,,603529.SH 市价买入1000股 占25% 16:00-17:00,1,"用户在微信群中输入下单指令：“603529.SH 市价买入1000股 占35% 16:00-17:00
”","机器人提示：
互换请求下单失败：A股只支持限价委托","互换下单
（参数间逻辑冲突）",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： @机器人输入参数间存在逻辑冲突的互换下单指令，机器人能引导用户,,F1000111.N 市价买入1000股 占25% 16:00-17:00,2,"用户在微信群中输入下单指令：“F1000111.N 市价买入1000股 占35% 16:00-17:00
”","机器人返回：
包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","互换下单
（参数间逻辑冲突）",,,,,,,,,
机器人,,,验证： @机器人输入不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价（缺限定价格）,1,用户在微信群中输入下单指令：“A组合 HTIF2504 1657股 限价”,"机器人提示：
补全限定价格","互换下单
（缺参）",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： @机器人输入不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,限价6,2,用户引用上一条机器人消息补全：“限价6”,"机器人返回：
互换下单的参数信息，包含：标的、方向、数量、价格类型等，并提示用户下一步步骤","互换下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","互换下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,3,,"机器人提示：
交易员审核通过/不通过（结束）","互换下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,4,,"机器人返回交易中信息：
每一次的成交信息，直到终态（全部成交/部分成交）","互换下单
（缺参）",,,,,,,,,
机器人,,,验证： @机器人输入（3个其中一个）不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,"1.1209.HK 限价9 买入 1200 TWAP 13：00-14：00
2.A股000560.SZ 限价10买入 100股
3.0013.HK沪港通 限价6 买入1500股 pov25",1,"用户在微信群中输入下单指令：“1.1209.HK 限价9 买入 1200 TWAP 13：00-14：00
2.A股000560.SZ 限价10买入 100股
3.0013.HK沪港通 限价6 买入1500股 pov25”","机器人提示：
第三个订单缺少算法起终时间","互换批量下单
（缺参）",phq,反案例,高,2025/11/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： @机器人输入（3个其中一个）不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,13：00-14：00,2,用户引用上一条机器人消息补全：“13：00-14：00”,"机器人返回：
互换3个订单的参数信息，包含：标的、方向、数量、价格类型等，并提示用户下一步步骤","互换批量下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入（3个其中一个）不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","互换批量下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入（3个其中一个）不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,3,,"机器人提示：
交易员审核通过/不通过（结束）","互换批量下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入（3个其中一个）不完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,4,,"机器人返回交易中信息：
每一次的成交信息，直到终态（全部成交/部分成交）","互换批量下单
（缺参）",,,,,,,,,
,,,验证： @机器人输入完整但不清晰的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,帮我下一个互换订单。我要买入603529.SH，数量是5000份，用限价5块钱。算法是POV25，请在下午一点半到三点半执行,1,"用户在微信群中输入下单指令：“帮我下一个互换订单。我要买入603529.SH，数量是5000份，用限价5块钱。算法是POV25，请在下午一点半到三点半执行
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","下单
（指令完整且有干扰性）",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： @机器人输入完整但不清晰的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","下单
（指令完整且有干扰性）",,,,,,,,,
,,,验证： @机器人输入完整但不清晰的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,3,,"机器人提示：
交易员审核通过/不通过（结束）","下单
（指令完整且有干扰性）",,,,,,,,,
,,,验证： @机器人输入完整但不清晰的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,4,,"机器人返回交易中信息：
每一次的成交信息，直到终态（全部成交/部分成交）","下单
（指令完整且有干扰性）",,,,,,,,,
,,,验证： @机器人输入非互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,你可以下什么指令？/12345678 / 滚滚长江东逝水,1,用户在微信群中输入指令：“你可以下什么指令？”,"机器人提示用户：
一、场外期权
请您按照以下模版来询价：
欧式看涨，标的代码（或标的名称），执行价，期限
以询价000155的欧式香草为例。
@机器人并发送：欧式看涨，000155.SZ，80，1M/2M/3M

二、互换交易
请您按照以下模版来下单：
标的代码（或标的名称），方向，数量，价格类型
以下单HTIF2504为例。
@机器人并发送：HTIF2504，买入，1657股，限价6",非下单指令,phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
,,,验证： 不@机器人输入非互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价6,1,用户在微信群中输入下单指令：“A组合 HTIF2504 1657股 限价6”,机器人不执行任何操作,"不 @机器人
输入下单指令",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人并引用上一条消息输入非确认下单指令，机器人不会执行下单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤",非确认下单指令,phq,反案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人并引用上一条消息输入非确认下单指令，机器人不会执行下单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,123456789,3,用户引用上一条机器人消息输入下单指令：“123456789”,机器人不执行下单操作，并提示用户回复正确的关键词【确认下单】。,非确认下单指令,,,,,,,,,
机器人,,,验证： @机器人不引用输入确认下单指令，机器人提示用户确认下单需提供单号,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","不引用直接输入
确认下单指令",phq,反案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人不引用输入确认下单指令，机器人提示用户确认下单需提供单号,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,3,用户直接输入下单指令：“确认下单”,"机器人返回：
确认下单需提供单号","不引用直接输入
确认下单指令",,,,,,,,,
机器人,,,验证： @机器人并引用上一条消息输入干扰性确认下单指令，机器人能够正确识别,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤",干扰性确认下单指令,phq,正案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人并引用上一条消息输入干扰性确认下单指令，机器人能够正确识别,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单，麻烦快一点,3,用户引用上一条机器人消息输入下单指令：“确认下单，麻烦快一点”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核",干扰性确认下单指令,,,,,,,,,
机器人,,,验证： @机器人并引用上一条消息输入干扰性确认下单指令，机器人不执行下单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤",非指定关键词的确认下单指令,phq,反案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人并引用上一条消息输入干扰性确认下单指令，机器人不执行下单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,好的可以,3,用户引用上一条机器人消息输入下单指令：“好的可以”,机器人不执行下单操作，并提示用户回复正确的关键词【确认下单】。,非指定关键词的确认下单指令,,,,,,,,,
机器人,,,验证： @机器人并引用上一条消息输入干扰性确认下单指令，机器人不执行下单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤",否定确认下单指令,phq,反案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人并引用上一条消息输入干扰性确认下单指令，机器人不执行下单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,不要确认下单,3,用户引用上一条机器人消息输入下单指令：“不要确认下单”,机器人提示该订单已取消。,否定确认下单指令,,,,,,,,,
机器人,,,验证： @机器人并引用待交易员审核订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","订单待审核撤单
",phq,正案例,高,2025/9/9,待自动化,开发自测,,互换撤单,
机器人,,,验证： @机器人并引用待交易员审核订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","订单待审核撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用待交易员审核订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,撤单,3,用户引用上一条机器人消息输入撤单指令：“撤单”,"机器人返回：
订单号，提示用户已接收撤单指令，并提示用户下一步步骤","订单待审核撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","交易中撤单
",phq,正案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","交易中撤单
",,,,,,,,,
,,,验证： @机器人并引用已审核但未完全成交订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,3,,"机器人返回：
交易员审核通过，交易中信息","交易中撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,撤单,4,用户引用上一条机器人消息输入撤单指令：“撤单”,"机器人返回：
订单号，提示用户已接收撤单指令，并提示用户下一步步骤","交易中撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认撤单,5,用户引用上一条机器人消息输入撤单指令：“确认撤单”,"机器人返回：
订单号，提示用户已接收确认撤单指令，等请稍候
最后返回：
订单{{订单号}}撤单成功/失败，已成交xxx","交易中撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已完全成交订单消息，输入撤单指令，机器人能提示无法撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,"A组合 HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","已完全成交撤单
",phq,反案例,高,2025/9/9,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人并引用已完全成交订单消息，输入撤单指令，机器人能提示无法撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","已完全成交撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已完全成交订单消息，输入撤单指令，机器人能提示无法撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,,3,,"机器人返回：
交易员审核通过，交易中信息","已完全成交撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已完全成交订单消息，输入撤单指令，机器人能提示无法撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,,4,,"机器人返回：
订单已完全成交","已完全成交撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已完全成交订单消息，输入撤单指令，机器人能提示无法撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,撤单,5,用户引用上一条机器人消息输入撤单指令：“撤单”,"机器人提示：
用户订单已成交，不支持撤单","已完全成交撤单
",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入非撤单指令，机器人不执行撤单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价6,1,用户输入下单指令：“A组合 HTIF2504 1657股 买入 限价6”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤",非撤单指令,phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入非撤单指令，机器人不执行撤单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核",非撤单指令,,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入非撤单指令，机器人不执行撤单操作,用户已登录微信，并加入机器人所在群聊且有业务权限。,123,3,用户引用上一条机器人消息输入撤单指令：“123”,机器人不执行任何操作,非撤单指令,,,,,,,,,
机器人,,,验证： @机器人且没有引用消息，输入撤单指令，机器人提示用户输入订单号,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价6,1,用户输入下单指令：“A组合 HTIF2504 1657股 买入 限价6”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","不引用直接输入
撤单指令
",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人且没有引用消息，输入撤单指令，机器人提示用户输入订单号,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","不引用直接输入
撤单指令
",,,,,,,,,
机器人,,,验证： @机器人且没有引用消息，输入撤单指令，机器人提示用户输入订单号,用户已登录微信，并加入机器人所在群聊且有业务权限。,撤单,3,用户直接输入撤单指令：“撤单”,"机器人返回：
提示用户提供订单号","不引用直接输入
撤单指令
",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入干扰性撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价6,1,用户输入下单指令：“A组合 HTIF2504 1657股 买入 限价6”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","
干扰性撤单指令",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入干扰性撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","
干扰性撤单指令",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入干扰性撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,我要撤单，麻烦快一点,3,用户直接输入撤单指令：“我要撤单，麻烦快一点”,"机器人返回：
订单号，提示用户已接收撤单指令，并提示用户下一步步骤","
干扰性撤单指令",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入干扰性撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价6,1,用户输入下单指令：“A组合 HTIF2504 1657股 买入 限价6”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","
多类型口语化撤单指令",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入干扰性撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","
多类型口语化撤单指令",,,,,,,,,
机器人,,,验证： @机器人并引用已审核但未完全成交订单消息，输入干扰性撤单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,撤销/撤回/取消下单/可以撤单吗/刚刚那单弄错了，不要了,3,用户引用上一条机器人消息输入撤单指令：“撤销”,"机器人返回：
订单号，提示用户已接收撤单指令，并提示用户下一步步骤","
多类型口语化撤单指令",,,,,,,,,
机器人,,,验证： @机器人并引用上一条消息，输入非指定关键词的确认撤单指令，机器人不执行确认撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,A组合 HTIF2504 1657股 买入 限价6,1,用户输入下单指令：“A组合 HTIF2504 1657股 买入 限价6”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","
非指定关键词的确认撤单指令",phq,反案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换撤单,
机器人,,,验证： @机器人并引用上一条消息，输入非指定关键词的确认撤单指令，机器人不执行确认撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","
非指定关键词的确认撤单指令",,,,,,,,,
机器人,,,验证： @机器人并引用上一条消息，输入非指定关键词的确认撤单指令，机器人不执行确认撤单,用户已登录微信，并加入机器人所在群聊且有业务权限。,撤单,3,用户引用上一条机器人消息输入撤单指令：“撤单”,"机器人返回：
订单号，提示用户已接收撤单指令，并提示用户下一步步骤","
非指定关键词的确认撤单指令",,,,,,,,,
机器人,,,,,撤单确认确认,4,用户引用上一条机器人消息输入撤单指令：“撤单确认确认”,机器人不执行任何操作，并提示用户使用指定关键词确认撤单,"
非指定关键词的确认撤单指令",,,,,,,,,
