案例目录,案例编号,测试概述,前置条件,操作步骤,测试数据,操作步骤名称,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 2手已成交均价： *已成交金额： *,,,,,,,,,
,,"买3手CU260716.LME, 市价twap 2分钟@场外AI交易助手测试C",,"向企微BOT发送下单指令“买3手CU260716.LME, 市价twap 2分钟@场外AI交易助手测试C”并@企微BOT",,1,企微BOT返回：互换下单信息有误，您的互换订单参数需要完善：【参数值错误】  • 价格类型：跨境期货交易所伦敦金属交易所不支持市价委托，请使用限价委托请引用本消息，补充您的订单参数。,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“限价1”,,2,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：CU260716.LME标的名称：CU260716交易品种：跨境期货委托数量：3手委托方向：买入价格类型：限价委托算法类型：TWAP算法开始时间：2026-04-22 09:10:20算法结束时间：2026-04-22 09:12:20价格：1交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,4,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 3手已成交均价： *已成交金额： *,,,,,,,,,
,,买2股NVDA.O 限150 盘前@场外AI交易助手测试C,,向企微BOT发送下单指令“买2股NVDA.O 限150 盘前@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：2股委托方向：买入价格类型：限价委托价格：150交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 2股已成交均价： *已成交金额： *,,,,,,,,,
,,买3w股0700.HK 限510 占30%@场外AI交易助手测试C,,向企微BOT发送下单指令“买3w股0700.HK 限510 占30%@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：30000股委托方向：买入价格类型：限价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-22 08:57:32算法结束时间：2026-04-22 20:10:00价格：510交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 30000股已成交均价： *已成交金额： *,,,,,,,,,
,,买5w股0700.HK 限520 1400-1500@场外AI交易助手测试C,,向企微BOT发送下单指令“买5w股0700.HK 限520 1400-1500@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：50000股委托方向：买入价格类型：限价委托价格：520算法开始时间：2026-04-22 14:00:00算法结束时间：2026-04-22 15:00:00价格：520交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,没有识别出算法时间,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 50000股已成交均价： *已成交金额： *,,,,,,,,,
,,全仓买入0700.HK 限550 1400-1500@场外AI交易助手测试C,,向企微BOT发送下单指令“全仓买入0700.HK 限550 1400-1500@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：互换下单信息有误，您的互换订单参数需要完善：【缺失参数】  • 委托数量（示例:1000股）请引用本消息，补充您的订单参数。,加算法可以识别出时间,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“1000股”,,2,企微BOT返回：----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：1000股委托方向：买入价格类型：限价委托算法开始时间：2026-04-22 14:00:00算法结束时间：2026-04-22 15:00:00价格：550交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1000股已成交均价： *已成交金额： *,,,,,,,,,
,,买200万人民币0700.HK 限400 1400-1500@场外AI交易助手测试C,,向企微BOT发送下单指令“买200万人民币0700.HK 限400 1400-1500@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：2000000股委托方向：买入价格类型：限价委托算法开始时间：2026-04-22 14:00:00算法结束时间：2026-04-22 15:00:00价格：400交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,加算法可以识别出时间,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 2000000股已成交均价： *已成交金额： *,,,,,,,,,
,,买300万人民币00.HK 限500 1400-1500@场外AI交易助手测试C,,向企微BOT发送下单指令“买300万人民币00.HK 限500 1400-1500@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：3000000股委托方向：买入价格类型：限价委托算法开始时间：2026-04-22 14:00:00算法结束时间：2026-04-22 15:00:00价格：500交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,加算法可以识别出时间,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 3000000股已成交均价： *已成交金额： *,,,,,,,,,
,,买500万港币0700.HK 限600 1400-1500@场外AI交易助手测试C,,向企微BOT发送下单指令“买500万港币0700.HK 限600 1400-1500@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：5000000股委托方向：买入价格类型：限价委托算法开始时间：2026-04-22 14:00:00算法结束时间：2026-04-22 15:00:00价格：600交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,加算法可以识别出时间,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 5000000股已成交均价： *已成交金额： *,,,,,,,,,
,,多600股0700.HK 限700 vwap1330-1430 max vol=10%@场外AI交易助手测试C,,向企微BOT发送下单指令“多600股0700.HK 限700 vwap1330-1430 max vol=10%@场外AI交易助手测试C ”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：600股委托方向：买入价格类型：限价委托算法类型：VWAP算法开始时间：2026-04-22 13:30:00算法结束时间：2026-04-22 14:30:00价格：700交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量：600股已成交均价： *已成交金额： *,,,,,,,,,
,,多700股0700.HK 限800 跟60% 1330-1430@场外AI交易助手测试C,,向企微BOT发送下单指令“多700股0700.HK 限800 跟60% 1330-1430@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：700股委托方向：买入价格类型：限价委托算法类型：POVPOV比例：60%算法开始时间：2026-04-22 13:30:00算法结束时间：2026-04-22 14:30:00价格：800交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 700股已成交均价： *已成交金额： *,,,,,,,,,
,,买入200股0700.HK 价格800 跟量60%@场外AI交易助手测试C,,向企微BOT发送下单指令“买入200股0700.HK 价格800 跟量60%@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：200股委托方向：买入价格类型：限价委托算法类型：POVPOV比例：60%算法开始时间：2026-04-22 09:33:18算法结束时间：2026-04-22 20:10:00价格：800交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 200股已成交均价： *已成交金额： *,,,,,,,,,
,,买入500股0700.HK 市价 POV10.1% @场外AI交易助手测试C,,向企微BOT发送下单指令“买入500股0700.HK 市价 POV10.1% @场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：500股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：10.1%算法开始时间：2026-04-22 09:36:46算法结束时间：2026-04-22 20:10:00交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 500股已成交均价： *已成交金额： *,,,,,,,,,
,,买入5手0700.HK 限价520@场外AI交易助手测试C,,向企微BOT发送下单指令“买入5手0700.HK 限价520@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：5股委托方向：买入价格类型：限价委托价格：520交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 5股已成交均价： *已成交金额： *,,,,,,,,,
,,买入500股NVDA 限价270@场外AI交易助手测试C,,向企微BOT发送下单指令“买入500股NVDA 限价270@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：500股委托方向：买入价格类型：限价委托价格：270交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 500股已成交均价： *已成交金额： *,,,,,,,,,
,,买入200股英伟达 限价140@场外AI交易助手测试C,,向企微BOT发送下单指令“买入200股英伟达 限价140@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：200股委托方向：买入价格类型：限价委托价格：140交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 200股已成交均价： *已成交金额： *,,,,,,,,,
,,买入1000股腾讯控股 限价590@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1000股腾讯控股 限价590@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：1000股委托方向：买入价格类型：限价委托价格：590交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1000股已成交均价： *已成交金额： *,,,,,,,,,
,,买入200股0700 限价490@场外AI交易助手测试C,,向企微BOT发送下单指令“买入200股0700 限价490@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：200股委托方向：买入价格类型：限价委托价格：490交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 200股已成交均价： *已成交金额： *,,,,,,,,,
,,买入600股腾讯 限价600@场外AI交易助手测试C,,向企微BOT发送下单指令“买入600股腾讯 限价600@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：0700.HK标的名称：腾讯控股交易品种：港股委托数量：600股委托方向：买入价格类型：限价委托价格：600交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 600股已成交均价： *已成交金额： *,,,,,,,,,
,,alab买入50000股，市价跟量30%，算法开始时间：1:00，算法结束时间：4:00@场外AI交易助手测试C,,向企微BOT发送下单指令“alab买入50000股，市价跟量30%，算法开始时间：1:00，算法结束时间：4:00@场外AI交易助手测试C ”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：ALAB.O标的名称：ASTERA LABS交易品种：美股委托数量：50000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-23 01:00:00算法结束时间：2026-04-23 04:00:00交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 50000股已成交均价： *已成交金额： *,,,,,,,,,
,,GCm26.cmx，买入1手，限价6810，临沂阿凡提 @场外AI交易助手测试C,,向企微BOT发送下单指令“GCm26.cmx，买入1手，限价6810，临沂阿凡提 @场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：GCM26.CMX标的名称：COMEX黄金2606交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：6810交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,GCm26，买入1手，限价4710，临沂阿凡提 @场外AI交易助手测试C,,向企微BOT发送下单指令“GCm26，买入1手，限价4710，临沂阿凡提 @场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：GCM26.CMX标的名称：COMEX黄金2606交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：6810交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,GC2606，买入1手，限价4110，临沂阿凡提 @场外AI交易助手测试C,,向企微BOT发送下单指令“GC2606，买入1手，限价4110，临沂阿凡提 @场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：GCM26.CMX标的名称：COMEX黄金2606交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：6810交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,GC2606.CMX，买入1手，限价4830 ，临沂阿凡提 @场外AI交易助手测试C,,向企微BOT发送下单指令“GC2606.CMX，买入1手，限价4830 ，临沂阿凡提 @场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：GC2606.CMX标的名称：COMEX黄金2606交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：4830交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,aaoi买入15000股，市价跟量30%，算法开始时间：22：30，算法结束时间：23：30@场外AI交易助手测试C,,向企微BOT发送下单指令“aaoi买入15000股，市价跟量30%，算法开始时间：22：30，算法结束时间：23：30@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：AAOI.O标的名称：应用光电交易品种：美股委托数量：15000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-22 22:30:00算法结束时间：2026-04-22 23:30:00交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 15000股已成交均价： *已成交金额： *,,,,,,,,,
