产品类型,案例目录,智能总结,案例编号（非必填）,相关参数,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,,美股POV参与率,最高跟量,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,沪港通POV参与率,最高跟量,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,深港通POV参与率,最高跟量,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,期货POV参与率,最高跟量,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,A股POV参与率,跟量封顶,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,港股POV参与率,跟量封顶,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,美股POV参与率,跟量封顶,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,沪港通POV参与率,跟量封顶,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,深港通POV参与率,跟量封顶,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,期货POV参与率,跟量封顶,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，跟量封顶，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,A股POV参与率,最大参与率,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,港股POV参与率,最大参与率,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,美股POV参与率,最大参与率,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,沪港通POV参与率,最大参与率,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,深港通POV参与率,最大参与率,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,期货POV参与率,最大参与率,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，最大参与率，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,A股POV参与率,参与率上限,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,港股POV参与率,参与率上限,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,美股POV参与率,参与率上限,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,沪港通POV参与率,参与率上限,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,深港通POV参与率,参与率上限,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,期货POV参与率,参与率上限,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，参与率上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,A股POV参与率,POV上限,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,港股POV参与率,POV上限,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,美股POV参与率,POV上限,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,沪港通POV参与率,POV上限,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,深港通POV参与率,POV上限,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,期货POV参与率,POV上限,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，POV上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,A股POV参与率,最高允许跟量,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,港股POV参与率,最高允许跟量,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,美股POV参与率,最高允许跟量,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,沪港通POV参与率,最高允许跟量,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,深港通POV参与率,最高允许跟量,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，最高允许跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
