产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""",已通过,,,,,,,,,
,,,互换改单，交易品种为 港股，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用港股确认下单且订单是交易中状态,确认改单,5,"用户在微信群中引用交易中信息输入指令：""确认改单""",机器人返回: 互换订单{订单号}：订单处理中，请稍候。,已通过,,,,,,,,,
,,,互换改单，交易品种为 港股，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,机器人返回: 互换订单{订单号}：已收到您的改单请求，待交易员审核。,已通过,,,,,,,,,
,,,互换改单，交易品种为 港股，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,机器人返回：原互换订单 {订单号} 已撤单：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s 新互换订单 {订单号} 已报：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s,已通过,,,,,,,,,
,,,美股标的下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：AAPL 苹果，数量：100股，方向：买入，价格类型：市价,1,"用户在微信群中@机器人输入指令：""AAPL 买入3100股，市价 @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型，并提示【待补充：交易对手】，列出可选交易对手列表（普通交易对手A-D、总单交易对手E-F），要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""", ,,,,,,,,,
,,,互换改单，交易品种为 美股，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用美股确认下单且订单是交易中状态,确认改单,5,"用户在微信群中引用交易中信息输入指令：""确认改单""",机器人返回: 互换订单{订单号}：订单处理中，请稍候。,美股下单状态为废单状态无法改单,,,,,,,,,
,,,互换改单，交易品种为 美股，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,机器人返回: 互换订单{订单号}：已收到您的改单请求，待交易员审核。,,,,,,,,,,
,,,互换改单，交易品种为 美股，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,机器人返回：原互换订单 {订单号} 已撤单：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s 新互换订单 {订单号} 已报：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s,,,,,,,,,,
,,,深港通标的下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：3690.HK 美团-W，数量：1000股，方向：买入，价格类型：市价,1,"用户在微信群中@机器人输入指令：""深港通1357.HK 买入1000股 限价1 @场外AI交易助手测试C """,机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型，并提示【待补充：交易对手】，列出可选交易对手列表（普通交易对手A-D、总单交易对手E-F），要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""", ,,,,,,,,,
,,,互换改单，交易品种为深港通港股，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用深港通确认下单且订单是交易中状态,确认改单,5,"用户在微信群中引用交易中信息输入指令：""确认改单""",机器人返回: 互换订单{订单号}：订单处理中，请稍候。,深港通股下单状态为废单状态无法改单,,,,,,,,,
,,,互换改单，交易品种为深港通港股，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,机器人返回: 互换订单{订单号}：已收到您的改单请求，待交易员审核。,,,,,,,,,,
,,,互换改单，交易品种为深港通港股，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,机器人返回：原互换订单 {订单号} 已撤单：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s 新互换订单 {订单号} 已报：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s,,,,,,,,,,
,,,沪港通标的下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：1299.HK 友邦保险，数量：500股，方向：买入，价格类型：市价,1,"用户在微信群中@机器人输入指令：""沪港通0590.HK 买入 200 11125测试短名（张天琪专用）@场外AI交易助手测试C """,机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型，并提示【待补充：交易对手】，列出可选交易对手列表（普通交易对手A-D、总单交易对手E-F），要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""", ,,,,,,,,,
,,,互换改单，交易品种为沪港通港股，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用沪港通确认下单且订单是交易中状态,确认改单,5,"用户在微信群中引用交易中信息输入指令：""确认改单""",机器人返回: 互换订单{订单号}：订单处理中，请稍候。,沪港通股下单状态为废单状态无法改单,,,,,,,,,
,,,互换改单，交易品种为沪港通港股，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,机器人返回: 互换订单{订单号}：已收到您的改单请求，待交易员审核。,,,,,,,,,,
,,,互换改单，交易品种为沪港通港股，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,机器人返回：原互换订单 {订单号} 已撤单：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s 新互换订单 {订单号} 已报：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s,,,,,,,,,,
,,,COMEX黄金期货下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：COMEX黄金期货，数量：5手，方向：买入，价格类型：限价1900,1,"用户在微信群中@机器人输入指令：""COMEX黄金期货 买入5手 限价1900 @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种（跨境期货-COMEX黄金）、委托数量、委托方向、价格类型（限价委托）、限定价格（1900），交易对手显示【待补充】。提示【待补全必填项：交易对手】，列出普通交易对手A-D和总单交易对手E-F。要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""",,,,,,,,,,
,,,互换改单，交易品种为COMEX黄金期货，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用COMEX黄金期货确认下单且订单是交易中状态,确认改单,5,"用户在微信群中引用交易中信息输入指令：""确认改单""",机器人返回: 互换订单{订单号}：订单处理中，请稍候。,,,,,,,,,,
,,,互换改单，交易品种为COMEX黄金期货，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,机器人返回: 互换订单{订单号}：已收到您的改单请求，待交易员审核。,,,,,,,,,,
,,,互换改单，交易品种为COMEX黄金期货，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,机器人返回：原互换订单 {订单号} 已撤单：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s 新互换订单 {订单号} 已报：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s,,,,,,,,,,
,,,WTI原油期货下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：6月WTI原油，数量：10手，方向：买入，价格类型：市价,1,"用户在微信群中@机器人输入指令：""6月WTI原油 买入10手 市价 @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种（跨境期货-WTI原油）、委托数量、委托方向、价格类型（市价委托），交易对手显示【待补充】。提示【待补全必填项：交易对手】，列出普通交易对手A-D和总单交易对手E-F。要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""",,,,,,,,,,
,,,互换改单，交易品种为WTI原油期货，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用WTI原油期货确认下单且订单是交易中状态,确认改单,5,"用户在微信群中引用交易中信息输入指令：""确认改单""",机器人返回: 互换订单{订单号}：订单处理中，请稍候。,,,,,,,,,,
,,,互换改单，交易品种为WTI原油期货，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,机器人返回: 互换订单{订单号}：已收到您的改单请求，待交易员审核。,,,,,,,,,,
,,,互换改单，交易品种为WTI原油期货，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,机器人返回：原互换订单 {订单号} 已撤单：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s 新互换订单 {订单号} 已报：交易对手：% s 已成交数量：% s 已成交均价：% s 已成交金额：% s,,,,,,,,,,
