产品类型,案例目录,案例编号（非必填）,市场,相关参数,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
http://jira.gf.com.cn/browse/CWAIJY-548,,,美股,POV参与率,跟量比例20%,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：20%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,沪港通,POV参与率,跟量比例20%,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：20%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,深港通,POV参与率,跟量比例20%,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：20%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,期货,POV参与率,跟量比例20%,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：20%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,港股,POV参与率,参与率15%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：15%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,A股,POV参与率,参与率15%,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：15%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,美股,POV参与率,参与率15%,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：15%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,沪港通,POV参与率,参与率15%,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：15%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,深港通,POV参与率,参与率15%,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：15%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,期货,POV参与率,参与率15%,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，参与率15%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：15%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,港股,POV参与率,成交占比10%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：10%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,A股,POV参与率,成交占比10%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：10%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,美股,POV参与率,成交占比10%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：10%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,沪港通,POV参与率,成交占比10%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：10%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,深港通,POV参与率,成交占比10%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：10%,已通过,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,期货,POV参与率,成交占比10%,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，成交占比10%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：10%,已通过,,,,,,,,,
