产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,沪港通互换按金额下单：未填币种默认CNY，限价非算法单买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：沪港通00388.HK，金额：80000，方向：买入，价格类型：限价280，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通00388.HK 买入80000 限价280 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00388.HK、标的名称、交易品种沪港通、委托金额80,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格280、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,沪港通互换按金额下单：用户指定标的币种HKD，限价非算法单卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：沪港通00388.HK，金额：100000HKD，方向：卖出，价格类型：限价285，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通00388.HK 卖出100000HKD 限价285 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00388.HK、标的名称、交易品种沪港通、委托金额100,000.00、币种HKD、委托方向卖出、价格类型限价委托、限定价格285、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,沪港通互换按金额下单：未填币种默认CNY，市价算法单TWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：沪港通00388.HK，金额：200000，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通00388.HK 买入200000 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00388.HK、标的名称、交易品种沪港通、委托金额200,000.00、币种CNY、委托方向买入、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,美股互换按金额下单：未填币种默认CNY，限价非算法单买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：美股AAPL，金额：100000，方向：买入，价格类型：限价185，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""美股AAPL 买入100000 限价185 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码AAPL、标的名称、交易品种美股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格185、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,美股互换按金额下单：用户指定标的币种USD，限价非算法单卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：美股AAPL，金额：50000USD，方向：卖出，价格类型：限价186，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""美股AAPL 卖出50000USD 限价186 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码AAPL、标的名称、交易品种美股、委托金额50,000.00、币种USD、委托方向卖出、价格类型限价委托、限定价格186、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,美股互换按金额下单：未填币种默认CNY，市价算法单TWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：美股TSLA，金额：300000，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""美股TSLA 买入300000 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码TSLA、标的名称、交易品种美股、委托金额300,000.00、币种CNY、委托方向买入、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,美股互换按金额下单：用户指定无效币种JPY（美股仅支持CNY和USD），系统提示币种无效,用户在企业微信群中，机器人已接入,标的：美股AAPL，金额：100000JPY，方向：买入，价格类型：限价185，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""美股AAPL 买入100000JPY 限价185 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回提示：币种JPY无效，美股互换支持币种为CNY或USD，请重新输入,,,,,,,,,,
,,,港股互换按金额下单：未填币种默认CNY，限价非算法单买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：港股00700.HK，金额：200000，方向：买入，价格类型：限价380，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00700.HK 买入200000 限价380 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00700.HK、标的名称、交易品种港股、委托金额200,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格380、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,港股互换按金额下单：用户指定标的币种HKD，限价非算法单卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：港股00700.HK，金额：500000HKD，方向：卖出，价格类型：限价385，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00700.HK 卖出500000HKD 限价385 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00700.HK、标的名称、交易品种港股、委托金额500,000.00、币种HKD、委托方向卖出、价格类型限价委托、限定价格385、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,港股互换按金额下单：用户明确指定CNY，市价算法单TWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：港股00005.HK，金额：150000CNY，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00005.HK 买入150000CNY 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00005.HK、标的名称、交易品种港股、委托金额150,000.00、币种CNY、委托方向买入、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,港股互换按金额下单：用户指定HKD，市价算法单VWAP卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：港股00005.HK，金额：300000HKD，方向：卖出，价格类型：市价，算法单VWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00005.HK 卖出300000HKD 市价 11125测试短名（张天琪专用）VWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00005.HK、标的名称、交易品种港股、委托金额300,000.00、币种HKD、委托方向卖出、价格类型市价委托、算法类型VWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,港股互换按金额下单：未填币种默认CNY，限价算法单VWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：港股00981.HK，金额：100000，方向：买入，价格类型：限价25，算法单VWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00981.HK 买入100000 限价25 11125测试短名（张天琪专用）VWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00981.HK、标的名称、交易品种港股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格25、算法类型VWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,港股互换按金额下单：用户指定无效币种EUR（港股仅支持CNY和HKD），系统提示币种无效,用户在企业微信群中，机器人已接入,标的：港股00700.HK，金额：100000EUR，方向：买入，价格类型：限价380，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00700.HK 买入100000EUR 限价380 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回提示：币种EUR无效，港股互换支持币种为CNY或HKD，请重新输入,,,,,,,,,,
,,,港股互换按金额下单：未填价格类型非算法单，系统默认市价委托并返回完整订单,用户在企业微信群中，机器人已接入,标的：港股00700.HK，金额：200000元，方向：买入，价格类型：未填，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""港股00700.HK 买入200000元 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00700.HK、标的名称、交易品种港股、委托金额200,000.00、币种CNY、委托方向买入、价格类型市价委托、交易对手。提示【如订单无误，请引用本消息回复确认下单】
",,,,,,,,,,
,,,港股通互换按金额下单：深港通标的，用户指定沪港通才支持的标的币种场景——确认深港通同样支持HKD，正常返回,用户在企业微信群中，机器人已接入,标的：深港通01357.HK，金额：60000HKD，方向：买入，价格类型：限价5.50，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通01357.HK 买入60000HKD 限价5.50 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码01357.HK、标的名称、交易品种深港通、委托金额60,000.00、币种HKD、委托方向买入、价格类型限价委托、限定价格5.50、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,沪港通互换按金额下单：用户明确指定CNY，限价非算法单买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：沪港通00388.HK，金额：60000CNY，方向：买入，价格类型：限价282，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通00388.HK 买入60000CNY 限价282 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00388.HK、标的名称、交易品种沪港通、委托金额60,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格282、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,沪港通互换按金额下单：用户指定无效币种EUR（沪港通仅支持CNY和HKD），系统提示币种无效,用户在企业微信群中，机器人已接入,标的：沪港通00388.HK，金额：50000EUR，方向：卖出，价格类型：限价285，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通00388.HK 卖出50000EUR 限价285 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回提示：币种EUR无效，沪港通互换支持币种为CNY或HKD，请重新输入,,,,,,,,,,
,,,美股互换按金额下单：用户明确指定CNY，限价非算法单卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：美股BABA，金额：80000CNY，方向：卖出，价格类型：限价95，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""美股BABA 卖出80000CNY 限价95 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码BABA、标的名称、交易品种美股、委托金额80,000.00、币种CNY、委托方向卖出、价格类型限价委托、限定价格95、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,美股互换按金额下单：用户指定USD，市价算法单VWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：美股AAPL，金额：30000USD，方向：买入，价格类型：市价，算法单VWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""美股AAPL 买入30000USD 市价 11125测试短名（张天琪专用）VWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码AAPL、标的名称、交易品种美股、委托金额30,000.00、币种USD、委托方向买入、价格类型市价委托、算法类型VWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"A股互换按金额下单：用户省略""限价""直接给出价格数字18.12，系统能识别为限价并返回完整订单",用户在企业微信群中，机器人已接入,"标的：000001，金额：100000元，方向：买入，价格：18.12（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""000001 买入100000元 18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"深港通互换按金额下单：用户省略""限价""直接给出价格数字18，系统能识别限价并返回完整订单",用户在企业微信群中，机器人已接入,"标的：深港通1357.HK，金额：50000元，方向：买入，价格：18（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入50000元 18 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托金额50,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"美股互换按金额下单：用户省略""限价""直接给出价格数字185，系统能识别限价并返回完整订单",用户在企业微信群中，机器人已接入,"标的：美股AAPL，金额：30000USD，方向：卖出，价格：185（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""美股AAPL 卖出30000USD 185 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码AAPL、标的名称、交易品种美股、委托金额30,000.00、币种USD、委托方向卖出、价格类型限价委托、限定价格185、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"A股互换按金额下单：非算法单既无""限价""也无价格数字，系统提示补全价格",用户在企业微信群中，机器人已接入,标的：000001，金额：100000元，方向：买入，价格：缺失，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入100000元 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托金额、币种、委托方向、交易对手。提示【待补全必填项：限定价格】、【待补全必填项：价格类型】，要求用户引用本消息补充【限定价格】【价格类型】,,,,,,,,,,
,,,"港股互换按金额下单：用户直接写港股代码不加""港股""前缀，系统通过代码匹配到港股品种并正常下单",用户在企业微信群中，机器人已接入,"标的：00700.HK（省略""港股""），金额：200000元，方向：买入，价格类型：限价380，非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""00700.HK 买入200000元 限价380 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00700.HK、标的名称、交易品种港股、委托金额200,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格380、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"美股互换按金额下单：用户直接写美股代码不加""美股""前缀，系统通过代码匹配到美股品种并正常下单",用户在企业微信群中，机器人已接入,"标的：TSLA（省略""美股""），金额：50000USD，方向：卖出，价格类型：限价250，非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""TSLA 卖出50000USD 限价250 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码TSLA、标的名称、交易品种美股、委托金额50,000.00、币种USD、委托方向卖出、价格类型限价委托、限定价格250、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单：用户仅写数字代码000001不加市场前缀，系统通过代码匹配到A股品种并正常下单,用户在企业微信群中，机器人已接入,标的：000001（无市场前缀），金额：100000元，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入100000元 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"A股互换按金额下单（简写组合）：用户同时省略""限价""+省略""元""+不加A股前缀，系统仍能正确识别金额/价格并默认CNY、限价",用户在企业微信群中，机器人已接入,"标的：000001（无前缀），金额：100000（省略""元""），方向：买入，价格：18.12（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""000001 买入100000 18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"美股互换按金额下单（简写组合）：用户同时省略""限价""+不加美股前缀+省略""元""，系统正确识别为美股限价单（CNY默认）",用户在企业微信群中，机器人已接入,"标的：AAPL（无前缀），金额：50000（省略""元""），方向：买入，价格：185（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""AAPL 买入50000 185 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码AAPL、标的名称、交易品种美股、委托金额50,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格185、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单（模糊）：用户指令中掺杂口语化无关文字和多余空格，系统正确提取关键参数,用户在企业微信群中，机器人已接入,标的：000001，金额：100000元，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""帮我 000001 买入  100000元  限价18.12  给 11125测试短名（张天琪专用） @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单：用户未填写金额信息，系统提示补充委托金额,用户在企业微信群中，机器人已接入,标的：000001，金额：缺失，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,,"用户在企业微信群中@机器人输入指令：""000001 买入 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回提示：未识别到委托金额，请补充委托金额（支持格式：纯数字金额，如""100000""；或金额+币种，如""50000CNY""或""78000HKD""；或金额+元，如""100000元""）",,,,,,,,,,
,,,"沪港通互换按金额下单：用户省略""限价""直接给出价格数字280，系统能识别为限价并返回完整订单",用户在企业微信群中，机器人已接入,"标的：沪港通00388.HK，金额：80000元，方向：买入，价格：280（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""沪港通00388.HK 买入80000元 280 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00388.HK、标的名称、交易品种沪港通、委托金额80,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格280、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,"港股互换按金额下单：用户省略""限价""直接给出价格数字380，系统能识别为限价并返回完整订单",用户在企业微信群中，机器人已接入,"标的：港股00700.HK，金额：200000元，方向：卖出，价格：380（省略""限价""），非算法单，交易对手：11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""港股00700.HK 卖出200000元 380 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码00700.HK、标的名称、交易品种港股、委托金额200,000.00、币种CNY、委托方向卖出、价格类型限价委托、限定价格380、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,	A股互换按金额下单：算法单未填价格类型，系统默认市价并返回完整订单,用户在企业微信群中，机器人已接入,标的：000001，金额：200000，方向：买入，价格类型：缺失，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业企业微信群中@机器人输入指令：""000001 买入200000 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额200,000.00、币种CNY、委托方向买入、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
